Date,Campaign ID,Campaign Name,Requests,Delivered,Opens,Daily Open Rate,Cumulative Open Rate,Unique Opens,Daily Unique Open Rate,Cumulative Unique Open Rate,Clicks,Daily Click Rate,Cumulative Click Rate,Unique Clicks,Daily Unique Click Rate,Cumulative Unique Click Rate,CTR,TCTR,Bounces,Daily Bounce Rate,Cumulative Bounce Rate,Bounce Drops,Spam Reports,Daily Spam Reports Rate,Cumulative Spam Reports Rate,Spam Report Drops,Unsubscribes,Daily Unsubscribe Rate,Cumulative Unsubscribe Rate,Invalid Emails
2018-10-24,4052964,"CMG - (TX) Children's Hospital of San Antonio Foundation  Burritos For Good MWF - Oct2018",2599,2508,394,15.71%,15.71%,272,10.85%,10.85%,48,1.91%,1.91%,4,0.16%,0.16%,1.47%,12.18%,6,0.23%,0.23%,83,0,0.00%,0.00%,3,1,0.04%,0.04%,1
2018-10-25,4052964,"CMG - (TX) Children's Hospital of San Antonio Foundation  Burritos For Good MWF - Oct2018",0,0,143,0.00%,21.41%,74,0.00%,13.80%,1,0.00%,1.95%,1,0.00%,0.20%,1.35%,0.70%,0,0.00%,0.23%,0,0,0.00%,0.00%,0,0,0.00%,0.04%,0
2018-10-26,4052964,"CMG - (TX) Children's Hospital of San Antonio Foundation  Burritos For Good MWF - Oct2018",0,0,23,0.00%,22.33%,13,0.00%,14.31%,0,0.00%,1.95%,0,0.00%,0.20%,0.00%,0.00%,0,0.00%,0.23%,0,0,0.00%,0.00%,0,0,0.00%,0.04%,0
2018-10-27,4052964,"CMG - (TX) Children's Hospital of San Antonio Foundation  Burritos For Good MWF - Oct2018",0,0,12,0.00%,22.81%,1,0.00%,14.35%,0,0.00%,1.95%,0,0.00%,0.20%,0.00%,0.00%,0,0.00%,0.23%,0,0,0.00%,0.00%,0,0,0.00%,0.04%,0
2018-10-28,4052964,"CMG - (TX) Children's Hospital of San Antonio Foundation  Burritos For Good MWF - Oct2018",0,0,4,0.00%,22.97%,4,0.00%,14.51%,0,0.00%,1.95%,0,0.00%,0.20%,0.00%,0.00%,0,0.00%,0.23%,0,0,0.00%,0.00%,0,0,0.00%,0.04%,0
2018-10-29,4052964,"CMG - (TX) Children's Hospital of San Antonio Foundation  Burritos For Good MWF - Oct2018",0,0,5,0.00%,23.17%,3,0.00%,14.63%,0,0.00%,1.95%,0,0.00%,0.20%,0.00%,0.00%,0,0.00%,0.23%,0,0,0.00%,0.00%,0,0,0.00%,0.04%,0
2018-10-30,4052964,"CMG - (TX) Children's Hospital of San Antonio Foundation  Burritos For Good MWF - Oct2018",0,0,3,0.00%,23.29%,2,0.00%,14.71%,0,0.00%,1.95%,0,0.00%,0.20%,0.00%,0.00%,0,0.00%,0.23%,0,0,0.00%,0.00%,0,0,0.00%,0.04%,0
Campaign Total,4052964,"CMG - (TX) Children's Hospital of San Antonio Foundation  Burritos For Good MWF - Oct2018",2599,2508,584,15.71%,23.29%,369,10.85%,14.71%,49,1.91%,1.95%,5,0.16%,0.20%,1.41%,6.44%,6,0.23%,0.23%,83,0,0.00%,0.00%,3,1,0.04%,0.04%,1
2018-10-29,4070053,"CMG - (OH/KY) JDRF - Cause An Effect MWF - Nov2018",34709,33223,3326,10.01%,10.01%,2566,7.72%,7.72%,97,0.29%,0.29%,14,0.04%,0.04%,0.55%,2.92%,120,0.35%,0.35%,1291,0,0.00%,0.00%,111,18,0.05%,0.05%,10
2018-10-30,4070053,"CMG - (OH/KY) JDRF - Cause An Effect MWF - Nov2018",0,0,3852,0.00%,21.61%,2333,0.00%,14.75%,13,0.00%,0.33%,10,0.00%,0.07%,0.43%,0.34%,4,0.00%,0.36%,0,1,0.00%,0.00%,0,13,0.00%,0.09%,0
